Nome,Endereco,Cidade,Estado,CEP,Telefone,Email,Latitude,Longitude
Hospital Sirio-Libanes,R. Dona Adma Jafet 91,Sao Paulo,SP,01308-050,(11) 3155-0000,contato@siriolibanes.org.br,-23.5558,-46.6622
Data Center Equinix SP3,Av. Marcos Penteado 939,Santana de Parnaiba,SP,06543-001,(11) 2103-6700,vendas@equinix.com,-23.4567,-46.9123
Hospital Albert Einstein,Av. Albert Einstein 627,Sao Paulo,SP,05652-900,(11) 2151-1233,einstein@einstein.br,-23.5985,-46.7128
Refinaria REDUC,Rod. BR-465 s/n,Duque de Caxias,RJ,25050-100,(21) 2171-7171,contato@petrobras.com.br,-22.7694,-43.2544
Hospital Moinhos de Vento,R. Ramiro Barcelos 910,Porto Alegre,RS,90035-001,(51) 3314-3434,contato@hmv.org.br,-30.0277,-51.2233
Hospital de Base do DF,SMHS Quadra 101,Brasilia,DF,70335-901,(61) 3196-4500,hb@saude.df.gov.br,-15.8267,-47.9233
Polo Industrial de Manaus,Av. Torquato Tapajos 7200,Manaus,AM,69093-415,(92) 3611-7000,contato@pim.com.br,-3.0789,-60.0289
Hospital Beneficencia Portuguesa,R. Maestro Cardim 769,Sao Paulo,SP,01323-001,(11) 3255-4000,contato@bpsp.org.br,-23.5489,-46.6389
Siderurgica Gerdau,Av. Farrapos 1811,Porto Alegre,RS,90240-004,(51) 3323-2000,contato@gerdau.com.br,-30.0346,-51.2177
Hospital das Clinicas UFPE,Av. Prof. Moraes Rego s/n,Recife,PE,50670-901,(81) 2126-3600,hc@ufpe.br,-8.0522,-34.9533
WEG S.A.,Av. Prefeito Waldemar Grubba 3300,Jaragua do Sul,SC,89256-900,(47) 3441-4444,weg@weg.net,-26.4867,-49.0889
Hospital de Clinicas UFPR,R. General Carneiro 181,Curitiba,PR,80060-900,(41) 3360-1800,hc@ufpr.br,-25.4284,-49.2733
Natura Cosmeticos,Av. Alexandre Colares 1188,Manaus,AM,69065-001,(92) 2121-6000,natura@natura.com.br,-3.1190,-60.0217
Hospital Portugues Salvador,R. Barao de Itapary 255,Salvador,BA,40015-170,(71) 3255-7000,contato@hps.org.br,-12.9714,-38.5124
Embraer S.A.,Av. Brigadeiro Faria Lima 2170,Sao Jose dos Campos,SP,12227-901,(12) 3927-1000,embraer@embraer.com.br,-23.2237,-45.8989
Hospital Felicio Rocho,Av. do Contorno 4747,Belo Horizonte,MG,30110-060,(31) 3239-5000,contato@hfr.com.br,-19.9389,-43.9244
Petrobras Distribuidora,R. Real Grandeza 219,Rio de Janeiro,RJ,22281-004,(21) 3224-4000,pdistribuidora@petrobras.com.br,-22.9519,-43.1758
Hospital de Caridade Curitiba,R. Desembargador Motta 1580,Curitiba,PR,80420-180,(41) 3310-5000,contato@hdc.org.br,-25.4378,-49.2633
Klabin S.A.,Av. Brigadeiro Faria Lima 3255,Sao Paulo,SP,01452-001,(11) 3747-7000,klabin@klabin.com.br,-23.5868,-46.6825
Hospital Mater Dei,Belvedere 2115,Belo Horizonte,MG,30350-540,(31) 3339-8000,contato@materdei.com.br,-19.9647,-43.9389
Suzano Papel e Celulose,R. Parana 1400,Sao Paulo,SP,01206-000,(11) 3503-9000,suzano@suzano.com.br,-23.5289,-46.6458
Hospital Sirio-Libanes Brasilia,SCLS 308,Brasilia,DF,70390-900,(61) 3449-2200,contato@siriolibanes.df.br,-15.8167,-47.9167
Ambev S.A.,Rua Dr. Renato Paes de Barros 1017,Sao Paulo,SP,04530-906,(11) 2122-1000,ambev@ambev.com.br,-23.5989,-46.6828
Hospital Sao Lucas PUCRS,Av. Ipiranga 6690,Porto Alegre,RS,90610-000,(51) 3320-5000,hsl@pucrs.br,-30.0569,-51.1758
Vale S.A.,Av. Graça Aranha 26,Rio de Janeiro,RJ,20030-001,(21) 3485-3000,vale@vale.com.br,-22.9129,-43.1728
Hospital Israelita Albert Einstein,Av. Albert Einstein 627,Sao Paulo,SP,05652-900,(11) 2151-1233,einstein@einstein.br,-23.5985,-46.7128
JBS S.A.,Av. Marginal Direita 2282,Sao Paulo,SP,05148-100,(11) 3144-7000,jbs@jbs.com.br,-23.5289,-46.7258
Hospital Beneficencia Portuguesa Recife,Av. Portugal 163,Recife,PE,50060-000,(81) 3416-6600,contato@hbp.org.br,-8.0589,-34.8828
BRF S.A.,Rod. BR 471 km 104,Itaiopolis,SC,89340-000,(47) 3632-1000,brf@brf.com.br,-26.4867,-49.9189
Hospital das Clinicas FMUSP,Av. Dr. Eneas de Carvalho Aguiar 255,Sao Paulo,SP,05403-000,(11) 2661-0000,hcfmusp@hc.fm.usp.br,-23.5589,-46.6728
